Experience made the : 2022-16-11--10-47-59
Pos X; Pos Y; Pos Z; Timer; Speed; Sens de deplacement; Position stop;BoutonA;BoutonB;Enter;Space;Distance de l origine;Distance de la fin;Distance Sphere/Camera
0; 0,75; 0,4; 1,222048; 0; Null; (0.00, 0.00, 0.00); Null; Null; Null; Null; 0; 0,85; 0,85
0; 0,75; 0,4; 1,229853; 0; Null; (0.00, 0.00, 0.00); Null; Null; Null; Null; 0; 0,85; 0,85
0; 0,75; 0,4; 1,239519; 0; Null; (0.00, 0.00, 0.00); Null; Null; Null; Null; 0; 0,85; 0,85
0; 0,75; 0,4; 1,246826; 0; Null; (0.00, 0.00, 0.00); Null; Null; Null; Null; 0; 0,85; 0,85
0; 0,75; 0,4; 1,255284; 0; Null; (0.00, 0.00, 0.00); Null; Null; Null; Null; 0; 0,85; 0,85
0; 0,75; 0,4; 1,263525; 0; Null; (0.00, 0.00, 0.00); Null; Null; Null; Null; 0; 0,85; 0,85
0; 0,75; 0,4; 1,271785; 0; Null; (0.00, 0.00, 0.00); Null; Null; Null; Null; 0; 0,85; 0,85
0; 0,75; 0,4; 1,279709; 0; Null; (0.00, 0.00, 0.00); Null; Null; Null; Null; 0; 0,85; 0,85
0; 0,75; 0,4; 1,288423; 0; Null; (0.00, 0.00, 0.00); Null; Null; Null; Null; 0; 0,85; 0,85
0; 0,75; 0,4; 1,296883; 0; Null; (0.00, 0.00, 0.00); Null; Null; Null; Null; 0; 0,85; 0,85
0; 0,75; 0,4; 1,304878; 0; Null; (0.00, 0.00, 0.00); Null; Null; Null; Null; 0; 0,85; 0,85
0; 0,75; 0,4; 1,313945; 0; Null; (0.00, 0.00, 0.00); Null; Null; Null; Null; 0; 0,85; 0,85
0; 0,75; 0,4; 1,321417; 0; Null; (0.00, 0.00, 0.00); Null; Null; Null; Null; 0; 0,85; 0,85
0; 0,75; 0,4; 1,329701; 0; Null; (0.00, 0.00, 0.00); Null; Null; Null; Null; 0; 0,85; 0,85
0; 0,75; 0,4; 1,337975; 0; Null; (0.00, 0.00, 0.00); Null; Null; Null; Null; 0; 0,85; 0,85
0; 0,75; 0,4; 1,346695; 0; Null; (0.00, 0.00, 0.00); Null; Null; Null; Null; 0; 0,85; 0,85
0; 0,75; 0,4; 1,354727; 0; Null; (0.00, 0.00, 0.00); Null; Null; Null; Null; 0; 0,85; 0,85
0; 0,75; 0,4; 1,363087; 0; Null; (0.00, 0.00, 0.00); Null; Null; Null; Null; 0; 0,85; 0,85
0; 0,75; 0,4; 1,371378; 0; Null; (0.00, 0.00, 0.00); Null; Null; Null; Null; 0; 0,85; 0,85
0; 0,75; 0,4; 1,379737; 0; Null; (0.00, 0.00, 0.00); Null; Null; Null; Null; 0; 0,85; 0,85
0; 0,75; 0,4; 1,388166; 0; Null; (0.00, 0.00, 0.00); Null; Null; Null; Null; 0; 0,85; 0,85
0; 0,75; 0,4; 1,396341; 0; Null; (0.00, 0.00, 0.00); Null; Null; Null; Null; 0; 0,85; 0,85
0; 0,75; 0,4; 1,404913; 0; Null; (0.00, 0.00, 0.00); Null; Null; Null; Null; 0; 0,85; 0,85
0; 0,75; 0,4; 1,413315; 0; Null; (0.00, 0.00, 0.00); Null; Null; Null; Null; 0; 0,85; 0,85
0; 0,75; 0,4; 1,421519; 0; Null; (0.00, 0.00, 0.00); Null; Null; Null; Null; 0; 0,85; 0,85
0; 0,75; 0,4; 1,429684; 0; Null; (0.00, 0.00, 0.00); Null; Null; Null; Null; 0; 0,85; 0,85
0; 0,75; 0,4; 1,438222; 0; Null; (0.00, 0.00, 0.00); Null; Null; Null; Null; 0; 0,85; 0,85
0; 0,75; 0,4; 1,446326; 0; Null; (0.00, 0.00, 0.00); Null; Null; Null; Null; 0; 0,85; 0,85
0; 0,75; 0,4; 1,454733; 0; Null; (0.00, 0.00, 0.00); Null; Null; Null; Null; 0; 0,85; 0,85
0; 0,75; 0,4; 1,462893; 0; Null; (0.00, 0.00, 0.00); Null; Null; Null; Null; 0; 0,85; 0,85
0; 0,75; 0,4; 1,4713; 0; Null; (0.00, 0.00, 0.00); Null; Null; Null; Null; 0; 0,85; 0,85
0; 0,75; 0,4; 1,47958; 0; Null; (0.00, 0.00, 0.00); Null; Null; Null; Null; 0; 0,85; 0,85
0; 0,75; 0,4; 1,488013; 0; Null; (0.00, 0.00, 0.00); Null; Null; Null; Null; 0; 0,85; 0,85
0; 0,75; 0,4; 1,496171; 0; Null; (0.00, 0.00, 0.00); Null; Null; Null; Null; 0; 0,85; 0,85
0; 0,75; 0,4; 1,504604; 0; Null; (0.00, 0.00, 0.00); Null; Null; Null; Null; 0; 0,85; 0,85
0; 0,75; 0,4; 1,512881; 0; Null; (0.00, 0.00, 0.00); Null; Null; Null; Null; 0; 0,85; 0,85
0; 0,75; 0,4; 1,521208; 0; Null; (0.00, 0.00, 0.00); Null; Null; Null; Null; 0; 0,85; 0,85
0; 0,75; 0,4; 1,529957; 0; Null; (0.00, 0.00, 0.00); Null; Null; Null; Null; 0; 0,85; 0,85
0; 0,75; 0,4; 1,538203; 0; Null; (0.00, 0.00, 0.00); Null; Null; Null; Null; 0; 0,85; 0,85
0; 0,75; 0,4; 1,54671; 0; Null; (0.00, 0.00, 0.00); Null; Null; Null; Null; 0; 0,85; 0,85
0; 0,75; 0,4; 1,554907; 0; Null; (0.00, 0.00, 0.00); Null; Null; Null; Null; 0; 0,85; 0,85
0; 0,75; 0,4; 1,563129; 0; Null; (0.00, 0.00, 0.00); Null; Null; Null; Null; 0; 0,85; 0,85
